Currency,IN_BankTransfer,IN_CreditCard,IN_DebitCard,IN_OpenBanking,IN_ACH,OUT_BankTransfer,OUT_CreditCard,OUT_DebitCard,OUT_OpenBanking,OUT_ACH,CPO,MobileWallet,CCY,Balance,PeerToPeer
GHS,<24hrs,<30mins,<30mins,<6hrs,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,5mins,<48hrs
GMD,<3 days,5mins,<30mins,<30mins,N/A,<4days,<30mins,<30mins,<1hr,N/A,5mins,5mins,Exotic CCY,5mins,<4days
GMD,24hrs,5mins,<30mins,<30mins,N/A,24hrs,<30mins,<30mins,<1hr,N/A,5mins,5mins,Ria CCY,5mins,24hrs
GNF,<3 days,<3 days,<30mins,<3 days,N/A,<4days,<4days,<30mins,<4days,N/A,5mins,5mins,Exotic CCY,5mins,<4days
GNF,24hrs,24hrs,<30mins,24hrs,N/A,24hrs,24hrs,<30mins,24hrs,N/A,5mins,5mins,Ria CCY,5mins,24hrs
GTQ,1-12 Hours,<3 days,<30mins,<3 days,N/A,1-12 Hours,<4days,<30mins,<4days,N/A,5mins,5mins,Exotic CCY,5mins,<4days
GTQ,15mins,15mins,15mins,15mins,N/A,15mins,15mins,15mins,15mins,N/A,5mins,5mins,Ria CCY,5mins,15mins
GYD,<3 days,<3 days,<3 days,<3 days,N/A,<4days,<4days,<4days,<4days,N/A,5mins,5mins,Exotic CCY,5mins,<4days
GYD,10mins,10mins,10mins,10mins,N/A,10mins,10mins,10mins,10mins,N/A,5mins,5mins,Ria CCY,5mins,10mins
HKD,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<24hrs,<24hrs,<24hrs,<24hrs,N/A,5mins,5mins,Standard CCY,5mins,<24hrs
HNL,<3 days,<3 days,5mins,<3 days,N/A,<4days,<4days,<30mins,<4days,N/A,5mins,5mins,Exotic CCY,5mins,<4days
HNL,<5 mins,<5 mins,<5 mins,<5 mins,N/A,<5 mins,<5 mins,<5 mins,<5 mins,N/A,5mins,5mins,Ria CCY,5mins,<5 mins
HRK,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<24hrs,<24hrs,<24hrs,<24hrs,N/A,5mins,5mins,Standard CCY,5mins,<24hrs
HUF,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<24hrs,<24hrs,<24hrs,<24hrs,N/A,5mins,5mins,Standard CCY,5mins,<24hrs
IDR,1-12 Hours,<30mins,5mins,<1hr,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,5mins,<4days
IDR,<5mins,<5mins,<5mins,<5mins,N/A,<5 mins,<5 mins,<5 mins,<5 mins,N/A,5mins,5mins,Ria CCY,5mins,<5 mins
ILS,<24hrs,<30mins,<30mins,<6hrs,N/A,<48 hrs,1-12 Hours,<6hrs,<48 hrs,N/A,5mins,5mins,Standard CCY,5mins,<48 hrs
INR,<24hrs,<30mins,<30mins,<6hrs,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,5mins,<4days
INR,5mins,5mins,5mins,5mins,N/A,5mins,5mins,5mins,5mins,N/A,5mins,5mins,Ria CCY,5mins,5mins
JMD,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<24hrs,<24hrs,<24hrs,<24hrs,N/A,5mins,5mins,Standard CCY,5mins,<24hrs
JOD,<6hrs,5mins,5mins,<1hr,N/A,<48 hrs,<30mins,<30mins,<48 hrs,N/A,5mins,5mins,Standard CCY,5mins,<48 hrs
JPY,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<48 hrs,<48 hrs,<48 hrs,<48 hrs,N/A,5mins,5mins,Standard CCY,5mins,<48 hrs
KES,<24hrs,<30mins,<30mins,<1hr,N/A,<48 hrs,<24hrs,<24hrs,<48 hrs,N/A,5mins,5mins,Standard CCY,5mins,<48 hrs
KHR,<3 days,<3 days,<3 days,<3 days,N/A,<4days,<4days,<4days,<4days,N/A,5mins,5mins,Exotic CCY,5mins,<4days
KHR,48hrs,48hrs,48hrs,48hrs,N/A,48hrs,48hrs,48hrs,48hrs,N/A,5mins,5mins,Ria CCY,5mins,48hrs
KMF,<3 days,<3 days,<3 days,<3 days,N/A,<4days,<4days,<4days,<4days,N/A,5mins,5mins,Exotic CCY,5mins,<4days
KMF,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<24hrs,<24hrs,<24hrs,<24hrs,N/A,5mins,5mins,Ria CCY,5mins,<24hrs
KWD,<24hrs,<24hrs,<24hrs,1-12 Hours,N/A,<48 hrs,<48 hrs,<48 hrs,<48 hrs,N/A,5mins,5mins,Standard CCY,5mins,<48 hrs
LKR,<5mins,<5mins,<5mins,<5mins,N/A,1-12 Hours,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,5mins,<24hrs
LKR,1-12 Hours,<30mins,<30mins,<6hrs,N/A,1-12 Hours,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,5mins,<48hrs
MAD,<24hrs,<30mins,<30mins,<6hrs,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,5mins,<4days
MAD,<24hrs,<30mins,<30mins,<6hrs,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,5mins,<24hrs
MMK,<3 days,<3 days,<3 days,<3 days,N/A,<4days,<4days,<4days,<4days,N/A,5mins,5mins,Exotic CCY,5mins,<4days
MMK,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<4days,<4days,<4days,<4days,N/A,5mins,5mins,Ria CCY,5mins,<4days
MUR,<30mins,5mins,5mins,<30mins,N/A,<48hrs,<6hrs,<30mins,<24hrs,N/A,5mins,5mins,Standard CCY,5mins,<48hrs
MXN,>5-<60 minutes,<30mins,<30mins,>5-<60 minutes,N/A,>5-<60 minutes,<30mins,<30mins,>5-<60 minutes,N/A,5mins,5mins,Ria CCY,5mins,>5-<60 minutes
MXN,Next Day,<30mins,<30mins,<6hrs,N/A,Next Day,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,5mins,Next Day
MYR,<24hrs,<30mins,<30mins,<6hrs,N/A,<48hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,5mins,<4days
MYR,<24hrs,<30mins,<30mins,<6hrs,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,5mins,<24hrs
MZN,<3 days,<3 days,<30mins,<3 days,N/A,<4days,<4days,<30mins,<4days,N/A,5mins,5mins,Exotic CCY,5mins,<4days
MZN,24hrs,24hrs,<30mins,24hrs,N/A,24hrs,24hrs,<30mins,24hrs,N/A,5mins,5mins,Ria CCY,5mins,24hrs
NGN,5 Mins,5 Mins,5 Mins,5 Mins,N/A,5 Mins,5 Mins,5 Mins,5 Mins,N/A,5mins,5mins,Ria CCY,5mins,6 Mins
NGN,1-12 Hours,5mins,<30mins,<1hr,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,5mins,<48hrs
NOK,1-12 Hours,<24hrs,<6hrs,1-12 Hours,N/A,<24hrs,<24hrs,<24hrs,<24hrs,N/A,5mins,5mins,Standard CCY,5mins,<24hrs
NPR,<48hrs,<30mins,<30mins,<6hrs,N/A,Three Days,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,5mins,<4days
NPR,<5mins,<5mins,<5mins,<5mins,N/A,<5mins,<5mins,<5mins,<5mins,N/A,5mins,5mins,Ria CCY,5mins,<5mins
OMR,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<48 hrs,<48 hrs,<48 hrs,<48 hrs,N/A,5mins,5mins,Standard CCY,5mins,<48 hrs
PEN,<48hrs,<30mins,<30mins,<6hrs,N/A,<48hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,5mins,<4days
PEN,1-12 Hours,<30mins,<30mins,<6hrs,N/A,1-12 Hours,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,5mins,1-12 Hours
PHP,<5mins,<5mins,<5mins,<5mins,N/A,<5mins,<5mins,<5mins,<5mins,N/A,5mins,5mins,Ria CCY,5mins,<5mins
PHP,1-12 Hours,<30mins,<30mins,<6hrs,N/A,1-12 Hours,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,5mins,<48hrs
PKR,<5mins,<5mins,<5mins,<5mins,N/A,<5mins,<5mins,<5mins,<5mins,N/A,5mins,5mins,Ria CCY,5mins,<5mins
