Currency,IN_BankTransfer,IN_CreditCard,IN_DebitCard,IN_OpenBanking,IN_ACH,OUT_BankTransfer,OUT_CreditCard,OUT_DebitCard,OUT_OpenBanking,OUT_ACH,CPO,MobileWallet,CCY,Balance,PeerToPeer
GHS,<24hrs,<30mins,<30mins,<6hrs,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
GHS,<24hrs,<30mins,<30mins,<6hrs,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Standard CCY,<30mins,<30mins
GMD,Three Days,5mins,<30mins,<30mins,N/A,>4days,<30mins,<30mins,<1hr,N/A,5mins,5mins,Exotic CCY,<30mins,<30mins
GMD,Three Days,5mins,<30mins,<30mins,N/A,>4days,<30mins,<30mins,<1hr,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
GNF,<3 days,<3 days,<30mins,<3 days,N/A,<4days,<4days,<30mins,<4days,N/A,5mins,5mins,Exotic CCY,5mins,<30mins
GNF,24hrs,24hrs,<30mins,24hrs,N/A,24hrs,24hrs,<30mins,24hrs,N/A,5mins,5mins,Ria CCY,5mins,<30mins
GTQ,1-12 Hours,<3 days,<30mins,<3 days,N/A,1-12 Hours,<4days,<30mins,<4days,N/A,5mins,5mins,Exotic CCY,<30mins,<30mins
GTQ,1-12 Hours,15mins,<30mins,15mins,N/A,1-12 Hours,15mins,<30mins,15mins,N/A,5mins,5mins,Ria CCY,<30mins,<30mins
GYD,<3 days,<3 days,<3 days,<3 days,N/A,<4days,<4days,<4days,<4days,N/A,5mins,5mins,Exotic CCY,5mins,<4days
GYD,10mins,10mins,10mins,10mins,N/A,10mins,10mins,10mins,10mins,N/A,5mins,5mins,Ria CCY,5mins,10mins
HKD,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<24hrs,<24hrs,<24hrs,<24hrs,N/A,5mins,5mins,Standard CCY,<6hrs,1-12 Hours
HNL,<3 days,<3 days,5mins,<3 days,N/A,<4days,<4days,<30mins,<4days,N/A,5mins,5mins,Exotic CCY,<30mins,<1hr
HNL,<5 mins,<5 mins,5mins,<5 mins,N/A,<5 mins,<5 mins,<30mins,<5 mins,N/A,5mins,5mins,Ria CCY,<30mins,<1hr
HRK,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<24hrs,<24hrs,<24hrs,<24hrs,N/A,5mins,5mins,Standard CCY,5mins,<24hrs
HUF,<48hrs,<24hrs,<24hrs,<24hrs,N/A,Three Days,<24hrs,<24hrs,<24hrs,N/A,5mins,5mins,Standard CCY,<24hrs,<24hrs
IDR,1-12 Hours,<30mins,5mins,<1hr,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,<30mins,<1hr
IDR,1-12 Hours,<30mins,5mins,<1hr,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<30mins,<1hr
ILS,<24hrs,<30mins,<30mins,<6hrs,N/A,>4days,1-12 Hours,<6hrs,<48hrs,N/A,5mins,5mins,Standard CCY,<1hr,<6hrs
INR,<24hrs,<30mins,<30mins,<6hrs,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Exotic CCY,<1hr,<6hrs
INR,<24hrs,<30mins,<30mins,<6hrs,N/A,<24hrs,<30mins,<30mins,<6hrs,N/A,5mins,5mins,Ria CCY,<1hr,<6hrs
JMD,<24hrs,<24hrs,<24hrs,<24hrs,N/A,<24hrs,<24hrs,<24hrs,<24hrs,N/A,5mins,5mins,Standard CCY,<6hrs,<6hrs
JOD,<6hrs,5mins,5mins,<1hr,N/A,<48hrs,<30mins,<30mins,<48hrs,N/A,5mins,5mins,Standard CCY,1-12 Hours,<24hrs
JPY,<24hrs,<24hrs,<24hrs,<48hrs,N/A,<48hrs,<48 hrs,Three Days,Three Days,N/A,5mins,5mins,Standard CCY,<24hrs,<24hrs
KES,<24hrs,<30mins,<30mins,<1hr,N/A,<48 hrs,<24hrs,<24hrs,<4days,N/A,5mins,5mins,Standard CCY,<30mins,<30mins
KHR,<3 days,<3 days,<3 days,<3 days,N/A,<4days,<4days,<4days,<4days,N/A,5mins,5mins,Exotic CCY,<30mins,<1hr
KHR,48hrs,48hrs,48hrs,48hrs,N/A,48hrs,48hrs,48hrs,48hrs,N/A,5mins,5mins,Ria CCY,<30mins,<1hr
